variable,table,order_index,order_df9_tables,is_coded,coded_na_values,code_table,code_col,label_col,var_df11,var_in_df9
shrdStucco,cerVessel,263,10047,FALSE,-1,,,,art_cer_stucco,TRUE
shrdIncised,cerVessel,264,10048,FALSE,-1,,,,art_cer_incised,TRUE
foreignTot,cerVessel,265,10049,FALSE,-1,,,,art_cer_foreign_tot,TRUE
mayaLow,cerVessel,266,10050,FALSE,-1,,,,art_cer_foreign_mayalow,TRUE
mayaHigh,cerVessel,267,10051,FALSE,-1,,,,art_cer_foreign_mayahigh,TRUE
huastec,cerVessel,268,10052,FALSE,-1,,,,art_cer_foreign_huastec,TRUE
tajin,cerVessel,269,10053,FALSE,-1,,,,art_cer_foreign_tajin,TRUE
gulfCoast,cerVessel,270,10054,FALSE,-1,,,,art_cer_foreign_gulfcoast,TRUE
monteAlban,cerVessel,271,10055,FALSE,-1,,,,art_cer_foreign_montealban,TRUE
oaxaca,cerVessel,272,10056,FALSE,-1,,,,art_cer_foreign_oaxaca,TRUE
foreignOther,cerVessel,273,10057,FALSE,-1,,,,art_cer_foreign_other,TRUE
adornos,cerVessel,274,10058,FALSE,-1,,,,art_cer_adornos,TRUE
minatures,cerVessel,275,10059,FALSE,-1,,,,art_cer_mini,TRUE
copas,cerVessel,276,10060,FALSE,-1,,,,art_cer_copas,TRUE
matteWare,cerVessel,277,10061,FALSE,-1,,,,art_cer_matteware,TRUE
granTot,cerVessel,278,10062,FALSE,-1,,,,art_cer_gran_tot,TRUE
granPMic,cerVessel,279,10063,FALSE,-1,,,,art_cer_gran_pmic,TRUE
granMicc,cerVessel,280,10064,FALSE,-1,,,,art_cer_gran_micc,TRUE
granTlam,cerVessel,281,10065,FALSE,-1,,,,art_cer_gran_tlam,TRUE
granXola,cerVessel,282,10066,FALSE,-1,,,,art_cer_gran_xola,TRUE
granMete,cerVessel,283,10067,FALSE,-1,,,,art_cer_gran_mete,TRUE
burner3P,cerVessel,201,10068,FALSE,-1,,,,art_cer_burner3p,TRUE
coverHandled,cerVessel,202,10069,FALSE,-1,,,,art_cer_coverhandled,TRUE
ssn,cerNonVessel,0,11001,FALSE,,,,,meta_id_ssn,TRUE
figTot,cerNonVessel,170,11002,FALSE,-1,,,,art_cer_fig_tot,TRUE
figHead,cerNonVessel,171,11003,FALSE,-1,,,,art_cer_fig_head,TRUE
figPPat,cerNonVessel,172,11004,FALSE,-1,,,,art_cer_fig_pre_patl,TRUE
figPatl,cerNonVessel,173,11005,FALSE,-1,,,,art_cer_fig_patl,TRUE
figTzac,cerNonVessel,174,11006,FALSE,-1,,,,art_cer_fig_tzac,TRUE
figMicc,cerNonVessel,175,11007,FALSE,-1,,,,art_cer_fig_micc,TRUE
figTlam,cerNonVessel,176,11008,FALSE,-1,,,,art_cer_fig_tlam,TRUE
figXola,cerNonVessel,177,11009,FALSE,-1,,,,art_cer_fig_xola,TRUE
figMete,cerNonVessel,178,11010,FALSE,-1,,,,art_cer_fig_mete,TRUE
figTolt,cerNonVessel,179,11011,FALSE,-1,,,,art_cer_fig_toltec,TRUE
figAzte,cerNonVessel,180,11012,FALSE,-1,,,,art_cer_fig_aztec,TRUE
figPupp,cerNonVessel,181,11013,FALSE,-1,,,,art_cer_fig_pupp,TRUE
spindleWhorl,cerNonVessel,182,11014,FALSE,-1,,,,art_cer_spwhorl,TRUE
sealStamp,cerNonVessel,183,11015,FALSE,-1,,,,art_cer_sealstamp,TRUE
earSpool,cerNonVessel,184,11016,FALSE,-1,,,,art_cer_earspool,TRUE
whistle,cerNonVessel,185,11017,FALSE,-1,,,,art_cer_whistle,TRUE
flute,cerNonVessel,186,11018,FALSE,-1,,,,art_cer_flute,TRUE
ceramicDisk,cerNonVessel,284,11019,FALSE,-1,,,,art_cer_disk,TRUE
candTot,cerNonVessel,194,11020,FALSE,-1,,,,art_cer_cand_tot,TRUE
candCoat,cerNonVessel,195,11021,FALSE,-1,,,,art_cer_cand_coat,TRUE
candAtoy,cerNonVessel,196,11022,FALSE,-1,,,,art_cer_cand_atoy,TRUE
candEXol,cerNonVessel,197,11023,FALSE,-1,,,,art_cer_cand_exol,TRUE
candLXol,cerNonVessel,198,11024,FALSE,-1,,,,art_cer_cand_lxol,TRUE
candMete,cerNonVessel,199,11025,FALSE,-1,,,,art_cer_cand_mete,TRUE
candComm,cerNonVessel,200,11026,FALSE,-1,,,,art_cer_cand_common,TRUE
ssn,cerPhTot,0,12001,FALSE,,,,,meta_id_ssn,TRUE
totAll,cerPhTot,204,12002,FALSE,-1,,,,art_cer_tot_all,TRUE
totPrec,cerPhTot,205,12003,FALSE,-1,,,,art_cer_tot_precl,TRUE
totCuan,cerPhTot,206,12004,FALSE,-1,,,,art_cer_tot_cuan,TRUE
totTezo,cerPhTot,207,12005,FALSE,-1,,,,art_cer_tot_tezo,TRUE
totPatl,cerPhTot,208,12006,FALSE,-1,,,,art_cer_tot_patl,TRUE
totTzac,cerPhTot,209,12007,FALSE,-1,,,,art_cer_tot_tzac,TRUE
totMicc,cerPhTot,210,12008,FALSE,-1,,,,art_cer_tot_micc,TRUE
totTlam,cerPhTot,211,12009,FALSE,-1,,,,art_cer_tot_tlam,TRUE
totXola,cerPhTot,212,12010,FALSE,-1,,,,art_cer_tot_xola,TRUE
totMete,cerPhTot,213,12011,FALSE,-1,,,,art_cer_tot_mete,TRUE
totOxto,cerPhTot,214,12012,FALSE,-1,,,,art_cer_tot_oxto,TRUE
totXome,cerPhTot,215,12013,FALSE,-1,,,,art_cer_tot_xome,TRUE
totMaza,cerPhTot,216,12014,FALSE,-1,,,,art_cer_tot_maza,TRUE
totAzte,cerPhTot,217,12015,FALSE,-1,,,,art_cer_tot_aztec,TRUE
ssn,lithicFlaked,0,13001,FALSE,,,,,meta_id_ssn,TRUE
obsidianTot,lithicFlaked,147,13002,FALSE,-1,,,,art_lith_obs_tot,TRUE
obsidianBlades,lithicFlaked,148,13003,FALSE,-1,,,,art_lith_obs_blades,TRUE
obsidianWaste,lithicFlaked,149,13004,FALSE,-1,,,,art_lith_obs_waste,TRUE
obsidianScrapers,lithicFlaked,150,13005,FALSE,-1,,,,art_lith_obs_scrapers,TRUE
obsidianPoints,lithicFlaked,151,13006,FALSE,-1,,,,art_lith_obs_points,TRUE
obsidianCores,lithicFlaked,152,13007,FALSE,-1,,,,art_lith_obs_cores,TRUE
obsidianKnives,lithicFlaked,153,13008,FALSE,-1,,,,art_lith_obs_knives,TRUE
obsidianEccentrics,lithicFlaked,154,13009,FALSE,-1,,,,art_lith_obs_eccentrics,TRUE
obsidianMagueyS,lithicFlaked,155,13010,FALSE,-1,,,,art_lith_obs_scrapersmaguey,TRUE
obsidianUtFlake,lithicFlaked,156,13011,FALSE,-1,,,,art_lith_obs_utilizedflakes,TRUE
obsidianNodules,lithicFlaked,157,13012,FALSE,-1,,,,art_lith_obs_nodules,TRUE
basaltTot,lithicFlaked,158,13013,FALSE,-1,,,,art_lith_basalt_tot,TRUE
basaltTools,lithicFlaked,159,13014,FALSE,-1,,,,art_lith_basalt_tools,TRUE
chert,lithicFlaked,160,13015,FALSE,-1,,,,art_lith_chert_tot,TRUE
quartz,lithicFlaked,161,13016,FALSE,-1,,,,art_lith_quartz_tot,TRUE
ssn,lithicGround,0,14001,FALSE,,,,,meta_id_ssn,TRUE
manos,lithicGround,127,14002,FALSE,-1,,,,art_lith_gs_manos,TRUE
metates,lithicGround,128,14003,FALSE,-1,,,,art_lith_gs_metates,TRUE
mortars,lithicGround,129,14004,FALSE,-1,,,,art_lith_gs_mortars,TRUE
pestles,lithicGround,130,14005,FALSE,-1,,,,art_lith_gs_pestles,TRUE
plasterSmoothers,lithicGround,131,14006,FALSE,-1,,,,art_lith_gs_plastersmoothers,TRUE
plumbBobs,lithicGround,132,14007,FALSE,-1,,,,art_lith_gs_plumbbobs,TRUE
wallFixtures,lithicGround,133,14008,FALSE,-1,,,,art_lith_gs_wallfixtures,TRUE
fireGods,lithicGround,134,14009,FALSE,-1,,,,art_lith_gs_firegods,TRUE
sculptureFrags,lithicGround,135,14010,FALSE,-1,,,,art_lith_gs_sculpturefrags,TRUE
hammerStones,lithicGround,136,14011,FALSE,-1,,,,art_lith_gs_hammerstones,TRUE
